Timestamp,email,week_nfl,bet_description,line,total_stake,result,return
9/3/2025 23:01:25,1,1,PHI Eagles -8.5,-105,2,Loss,0
9/4/2025 9:00:02,2,1,Iowa State -3,-118,5,Push,5
9/4/2025 18:10:41,2,1,DAL Cowboys +8.5,-110,2,Win,3.81
9/5/2025 18:45:25,3,1,Ole Miss -9.5,-108,3,Loss,0
9/5/2025 18:52:56,3,1,Maryland -16.5,-115,2,Loss,0
9/5/2025 19:09:30,1,1,Duke ML,110,4,Loss,0
9/5/2025 19:09:51,1,1,MIA Dolphins ML,-108,2,Loss,0
9/5/2025 19:10:09,1,1,Over 46.5 GB vs DET,-118,2,Loss,0
9/6/2025 10:53:34,3,1,Over 65.5 Baylor vs SMU,-105,3,Win,5.85
9/6/2025 20:41:52,4,1,DET Lions ML,110,10,Loss,0
9/7/2025 9:58:24,3,1,DEN Broncos -8.5,-112,2,Loss,0
9/7/2025 11:23:53,2,1,DEN Broncos -8.5,-112,3,Loss,0
9/11/2025 19:46:23,2,2,WAS Commanders +3.5,-118,2,Loss,0
9/12/2025 16:15:17,3,2,Oregon -27.5,-108,4,Loss,0
9/12/2025 16:27:56,1,2,Oregon -27.5,-108,2,Loss,0
9/12/2025 16:30:12,1,2,JAX Jaguars ML,142,4,Loss,0
9/13/2025 9:15:54,2,2,Washington State +5.5,-112,1,Loss,0
9/13/2025 9:15:54,2,2,Northwestern +26.5,-105,1,Win,1.95
9/13/2025 9:15:54,2,2,LSU -7,-110,1,Win,1.9
9/13/2025 10:03:01,3,2,Texas A&M +6.5,-110,2,Win,3.81
9/13/2025 15:35:14,1,2,Georgia -3.5,-102,2,Loss,0
9/13/2025 17:24:18,3,2,Virginia Tech -5.5,-112,2,Loss,0
9/14/2025 12:44:18,3,2,NE Patriots ML,105,2,Win,4.1
9/14/2025 13:00:09,2,2,TEN Titans +5.5,-112,1,Loss,0
9/14/2025 13:12:39,1,2,PHI Eagles -1.5,-108,1,Win,1.92
9/14/2025 13:28:04,4,2,DET Lions ML,-285,10,Win,13.5
9/15/2025 13:00:09,2,2,KC Chiefs +1.5,-112,1,Loss,0
9/15/2025 13:12:39,1,2,MIN Vikings -3.5,-105,1,Loss,0
